,Actual Values,Lasso Predicted Values,Random Forest Predicted Values,Linear Regression Predicted Values,Lasso Absolute Error,Random Forest Absolute Error,Linear Regression Absolute Error,Lasso Accuracy (%),Random Forest Accuracy (%),Linear Regression Accuracy (%)
40,29909.337890625,28026.824667701836,30466.5033984375,27922.872837860275,1882.513222923164,557.1655078125004,1986.4650527647245,93.7059348160521,98.13715198293593,93.35837837658259
41,28177.984375,25936.74841998808,27461.555703125,26148.720265670552,2241.2359550119218,716.4286718750009,2029.2641093294478,92.04614522747629,97.45748786591481,92.7984057258196
42,16353.365234375,18827.680846028128,16726.038681640624,18836.618880976523,2474.315611653128,372.6734472656244,2483.2536466015226,84.86968537550862,97.72112074839336,84.81502974457092
43,42583.58203125,45874.29654832085,42919.656484375,45793.23439361651,3290.7145170708536,336.07445312500204,3209.6523623665125,92.27233980773163,99.2107886723142,92.4626999203329
44,20381.650390625,26128.75395981172,20333.07689453125,26347.04919163142,5747.103569186718,48.5734960937516,5965.39880100642,71.80256034697648,99.76168026061278,70.73152229247177
45,25832.2265625,29511.17669078572,25957.0276953125,29547.531510609067,3678.95012828572,124.80113281249942,3715.3049481090675,85.75829257542065,99.51687814246074,85.61755821117455
46,16796.953125,17217.5856284386,16789.66013671875,17309.520689091027,420.6325034385991,7.292988281249563,512.5675640910267,97.49578092938448,99.95658148101637,96.94844916053175
47,63167.37109375,52010.04183271655,63602.5376171875,52315.81097698278,11157.329261033447,435.1665234375032,10851.560116767221,82.33687888566034,99.31108970358818,82.82094073432017
48,22485.689453125,18391.244184188883,22093.649609375,18107.082611380698,4094.445268936117,392.0398437500007,4378.606841744302,81.79088403105611,98.25649178084012,80.5271399355034
49,26862.375,30185.509572814834,27257.112734375,30236.929227984547,3323.1345728148335,394.7377343750013,3374.5542279845467,87.62903662533624,98.5305181154868,87.4376177535138
50,25162.654296875,29579.078848076293,25941.106328125,29725.844464846166,4416.424551201293,778.452031249999,4563.190167971166,82.44849490401425,96.90631988952502,81.86522727636934
51,64062.203125,63906.648295091865,69246.7528515625,64672.50795566319,155.5548299081347,5184.549726562502,610.3048306631899,99.75718157927754,91.90700682515357,99.04732462998136
52,28680.537109375,30793.269080828526,29306.0279296875,30710.811544257936,2112.731971453526,625.4908203125015,2030.2744348829365,92.63356901791451,97.81911050714582,92.92107247803499
53,19139.53515625,19398.140811613208,19335.498203125,19906.36892880431,258.6056553632079,195.96304687500015,766.8337725543097,98.64884045901836,98.97613476359165,95.99345665245218
54,34059.265625,32752.26833010407,34153.90068359375,32677.948815089367,1306.9972948959294,94.63505859374709,1381.3168099106333,96.16257934247245,99.72214592165403,95.94437289071574
55,26753.826171875,30258.182429672506,27458.8590234375,29965.793411886305,3504.3562577975063,705.0328515625006,3211.967240011305,86.90147631488514,97.36474010471194,87.99436305156273
56,26189.583984375,31643.33739321037,26133.6533984375,31674.16282764129,5453.753408835371,55.930585937501746,5484.5788432662885,79.17586849760904,99.78643957853294,79.05816737471488
57,21395.01953125,20401.784361552505,21727.92412109375,20211.023013312722,993.2351696974947,332.9045898437507,1183.9965179372775,95.35763373224897,98.44400894629938,94.46601805523987
58,26008.462890625,31527.175282139524,26097.5756640625,31600.34304902504,5518.712391514524,89.11277343750044,5591.880158400039,78.78108977557534,99.65737008829683,78.49976685698067
59,65446.97265625,73444.1870476754,68414.72234375,74236.01176943444,7997.2143914253975,2967.749687500007,8789.039113184437,87.78061984099782,95.46541334602648,86.57074765039555
60,27494.70703125,23118.799465523785,27355.9331640625,23134.845112409817,4375.907565726215,138.7738671875013,4359.861918840183,84.08454557907224,99.49527060961307,84.14290461838767
61,23147.353515625,23785.74120758091,23205.712265625,23954.4173663579,638.3876919559116,58.35874999999942,807.0638507328986,97.24207049620172,99.74788154524617,96.51336447517376
62,20770.44140625,19339.378159664564,20214.82763671875,19690.949609101655,1431.063246585436,555.61376953125,1079.4917971483446,93.11009709136553,97.32497851796225,94.8027498499694
63,44080.6484375,38990.04103213563,42112.512578125,38854.2870657146,5090.607405364368,1968.1358593749974,5226.361371785402,88.45160498811147,95.5351476687882,88.14363772530336
64,51938.5546875,44739.98967859388,50195.922421875,45096.84507518872,7198.565008906116,1742.6322656249977,6841.709612311279,86.14022848302595,96.64481948696891,86.82730073357651
65,27225.7265625,29978.079851461192,26541.46900390625,29846.719376121582,2752.3532889611924,684.2575585937484,2620.992813621582,89.89061583850544,97.48672434132125,90.3731024125113
66,30139.052734375,28092.555193059125,29540.45048828125,27733.101986184614,2046.4975413158754,598.6022460937493,2405.9507481903856,93.2098146569094,98.01386509599548,92.01716533895478
67,29765.4921875,31975.126835597363,29400.08419921875,31992.638265684625,2209.6346480973625,365.40798828125116,2227.1460781846254,92.5765223898253,98.77237713396622,92.51769107611157
