,Actual Values,Lasso Predicted Values,Random Forest Predicted Values,Linear Regression Predicted Values,Lasso Absolute Error,Random Forest Absolute Error,Linear Regression Absolute Error,Lasso Accuracy (%),Random Forest Accuracy (%),Linear Regression Accuracy (%)
14,19290.32421875,21351.998398165306,19429.1953515625,20996.917252487994,2061.674179415306,138.87113281249913,1706.5930337379941,89.31239228518835,99.28009953986404,91.1531137870705
15,26256.826171875,29502.14515869305,26496.88671875,29506.027095966838,3245.318986818049,240.060546875,3249.200924091838,87.64009417751231,99.0857213842085,87.6253096896676
16,19297.076171875,24172.123489294318,19413.6199609375,23651.328105291075,4875.047317419318,116.54378906249985,4354.251933416075,74.7368602683728,99.39605467675793,77.43569080292957
17,21769.255859375,19510.76097948246,20401.03146484375,19569.63290889444,2258.4948798925398,1368.2243945312512,2199.6229504805597,89.62530049496426,93.7148775163942,89.8957366081336
18,16439.6796875,16622.99032029139,17078.06384765625,16785.21668689641,183.31063279138834,638.384160156249,345.53699939640865,98.88495009467387,96.11680901154267,97.89815248250159
19,19269.3671875,25926.062672334432,19811.57771484375,25713.387989067553,6656.695484834432,542.2105273437483,6444.020801567553,65.45451949686954,97.18615291271486,66.55821263425933
20,28333.97265625,24299.758395869874,27678.904375,24402.801582734017,4034.214260380126,655.0682812500017,3931.171073515983,85.7619180009682,97.68804646917204,86.1255916309045
21,18937.01171875,18441.388773620347,19139.6398828125,18586.46201868301,495.6229451296531,202.6281640624984,350.5497000669893,97.38278165272018,98.92998870639198,98.14886474554007
22,30590.078125,28251.807759795745,30053.35470703125,28151.110123439896,2338.2703652042546,536.7234179687512,2438.9680015601043,92.35611509179742,98.24543299374541,92.02693111278184
23,27946.59765625,30149.670100264862,27475.31703125,30106.278004490112,2203.0724440148624,471.2806249999994,2159.680348240112,92.11684917386656,98.3136386375298,92.27211707555708
24,16906.3046875,16619.354682999918,17219.06296875,16731.259195845534,286.9500045000823,312.75828125000044,175.04549165446588,98.30270416981043,98.15004942220612,98.96461411946581
25,20041.73828125,20315.01851319066,19843.911171875,20209.032127307593,273.28023194065827,197.82710937500087,167.29384605759333,98.63644446352079,99.01292439508565,99.16527277369896
26,31156.439453125,28086.344030550757,30301.61796875,28098.831124488443,3070.0954225742425,854.8214843749993,3057.6083286365574,90.14619296536367,97.25635695419857,90.1862716590683
27,28175.81640625,24045.63502003071,27546.5763671875,24044.588618783175,4130.18138621929,629.2400390625007,4131.227787466825,85.34139587414714,97.7667371550486,85.33768204654247
28,29856.5625,32386.53499876077,29988.63455078125,32305.727501425743,2529.9724987607697,132.07205078125116,2449.165001425743,91.52624318770532,99.5576448200249,91.79689556885276
29,22630.95703125,18317.50785529532,22863.25291015625,18462.440879914924,4313.44917595468,232.29587890625044,4168.516151335076,80.94004964085944,98.97354814210692,81.58046897628336
30,28348.44140625,23115.518001835437,27480.891328125,23080.786183537126,5232.923404414563,867.5500781250012,5267.655222712874,81.54070155242871,96.93969038476403,81.4181839938773
31,20860.44921875,17874.030592385243,20421.973828125,17832.042315934195,2986.418626364757,438.4753906250007,3028.4069028158046,85.68382399128551,97.8980539391698,85.48254224509326
