Actual Values,Predicted Values,Absolute Error,Accuracy (%)
1256.526611328125,1265.3553747558594,8.82876342773443,99.2973675727884
1586.535400390625,1614.1153161621094,27.579915771484366,98.26162619726645
1507.7828369140625,1660.2041516113281,152.42131469726564,89.89102999678508
1812.031005859375,1837.864071044922,25.833065185546957,98.57435854563121
2772.0556640625,2964.7587158203123,192.70305175781232,93.04837005057098
2281.47119140625,2329.827646484375,48.35645507812478,97.88047049376421
1816.458984375,1830.2631311035157,13.804146728515661,99.24005183451663
1362.1265869140625,1334.1839501953125,27.94263671875001,97.94860206186453
2803.69140625,2841.245607910156,37.554201660156195,98.66054439599021
2076.242919921875,2000.3061486816407,75.9367712402343,96.34258734796352
1515.03369140625,1597.0096630859375,81.97597167968752,94.58916510275111
1327.68017578125,1310.3825939941407,17.297581787109266,98.69715748546665
